OBJECTID,Timestamp_,Station,District,Latitude,Longitude,Freeway,Direction_of_Travel,Lane_Type,Station_Length,Samples,F__Observed,Total_Flow,Avg_Occupancy,Avg_Speed,Lane_N_Samples,Lane_N_Flow,Lane_N_Avg_Occ,Lane_N_Avg_Speed,Lane_N_Observed,x,y
11,3/29/2020 0:00:00,400214,4,38.076332999999998,-122.542370000000005,101,N,ML,0.305000000000000,40,100,48,0.008400000000000,67.900000000000006,10,2,0.001100000000000,75.000000000000000,1,540142.237399999983609,4214399.793199999257922
12,3/29/2020 0:00:00,400216,4,37.919642000000003,-122.332291999999995,580,E,ML,0.281000000000000,30,0,79,0.021900000000000,64.400000000000006,10,23,0.017100000000000,69.799999999999997,0,558687.483699999749660,4197113.871400000527501
13,3/29/2020 0:00:00,400218,4,37.803542000000000,-122.301497999999995,880,N,ML,0.520000000000000,40,100,103,0.021000000000000,59.299999999999997,10,8,0.004000000000000,74.799999999999997,1,561487.699000000022352,4184246.674000000581145
14,3/29/2020 0:00:00,400221,4,37.293613999999998,-121.937899000000002,17,N,ML,0.945000000000000,30,100,32,0.008100000000000,67.000000000000000,10,5,0.002900000000000,72.000000000000000,1,594134.629099999554455,4127983.612199999392033
15,3/29/2020 0:00:00,400222,4,37.275395000000003,-122.004701999999995,85,N,ML,0.930000000000000,30,33,49,0.021300000000000,64.799999999999997,10,6,0.005600000000000,71.500000000000000,1,588237.387199999764562,4125901.336400000378489
16,3/29/2020 0:00:00,400223,4,37.208513000000004,-121.721905000000007,101,S,ML,0.395000000000000,40,100,63,0.015400000000000,67.299999999999997,10,7,0.005200000000000,74.799999999999997,1,613408.326600000262260,4118767.435300000011921
17,3/29/2020 0:00:00,400224,4,37.835531000000003,-122.266013000000001,24,W,ML,0.190000000000000,40,0,70,0.021600000000000,64.500000000000000,10,12,0.018800000000000,69.799999999999997,0,564586.964200000278652,4187819.117100000381470
18,3/29/2020 0:00:00,400225,4,37.689655999999999,-122.136588000000003,880,S,ML,0.900000000000000,40,0,300,0.045300000000000,68.400000000000006,10,63,0.032100000000000,74.200000000000003,0,576122.370799999684095,4171738.417799999937415
19,3/29/2020 0:00:00,400227,4,37.377237000000001,-121.943585999999996,101,N,ML,0.715000000000000,50,100,70,0.010700000000000,71.099999999999994,10,4,0.002900000000000,76.400000000000006,1,593527.755900000222027,4137254.958900000900030
20,3/29/2020 0:00:00,400228,4,37.717689999999997,-122.175415000000001,880,S,ML,0.340000000000000,60,0,166,0.029200000000000,65.299999999999997,10,14,0.012400000000000,75.400000000000006,0,572672.457399999722838,4174815.855299999937415
21,3/29/2020 0:00:00,400231,4,37.762469000000003,-122.392742999999996,280,S,ML,2.348000000000000,30,0,139,0.029000000000000,67.900000000000006,10,37,0.020600000000000,71.599999999999994,0,553489.874800000339746,4179639.937599999830127
22,3/29/2020 0:00:00,400232,4,37.468846999999997,-121.907382999999996,680,N,ML,0.280000000000000,30,0,59,0.021700000000000,62.899999999999999,10,14,0.016900000000000,67.500000000000000,0,596614.587399999611080,4147448.903500000014901
23,3/29/2020 0:00:00,400235,4,38.030602000000002,-122.254968000000005,80,W,ML,0.528000000000000,40,100,59,0.009000000000000,68.299999999999997,10,7,0.004900000000000,74.400000000000006,1,565391.300099999643862,4209483.847400000318885
24,3/29/2020 0:00:00,400236,4,37.325009000000001,-121.892983999999998,87,S,ML,0.595000000000000,30,67,23,0.007100000000000,66.099999999999994,10,1,0.004300000000000,66.900000000000006,0,598075.602300000376999,4131509.845899999141693
