OBJECTID,DATETIME_,ORIG_FID,LINEARID,FULLNAME,RTTYP,MTFCC,Lat,Lon,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure,x,y,x_new,y_new
92,38:38.5,172,1.10E+12,Arthur H Breed Fwy,M,S1100,37.70126245,-121.9208232,103,103,44,44,0.970000029,FALSE,595136.2613,4173222.328,-6427.318469,2208.182124
93,38:38.9,172,1.10E+12,Arthur H Breed Fwy,M,S1100,37.70091876,-121.8257441,114,114,41,41,0.949999988,FALSE,603519.8263,4173282.528,-128521.3693,16668.7821
94,38:39.3,172,1.10E+12,Arthur H Breed Fwy,M,S1100,37.70562588,-121.7315598,115,115,26,26,0.930000007,FALSE,611815.1315,4173919,-17194.9545,-29797.82519
95,38:39.7,192,1.10E+12,Redwood Hwy,M,S1200,37.99511581,-122.5330692,108,108,68,68,0.949999988,FALSE,540995.8979,4205376.641,117557.4282,717.9124133
96,38:40.1,192,1.10E+12,Redwood Hwy,M,S1200,37.91459746,-122.5119774,106,106,36,36,0.949999988,FALSE,542902.2799,4196460.704,206761.7993,-2171.003803
97,38:40.4,192,1.10E+12,Redwood Hwy,M,S1200,37.83572274,-122.4848671,91,91,54,54,0.949999988,FALSE,545332.7064,4187710.678,35185.03888,-15426.94115
98,38:40.8,227,1.10E+12,Junipero Serra Fwy,M,S1100,37.62981452,-122.4343389,115,115,26,26,0.939999998,FALSE,549912.2585,4164902.024,-142195.7568,11892.72078
99,38:41.2,227,1.10E+12,Junipero Serra Fwy,M,S1100,37.55944821,-122.3825229,114,114,59,59,0.949999988,FALSE,554535.9845,4157123.18,-16895.12972,7268.463691
100,38:41.6,227,1.10E+12,Junipero Serra Fwy,M,S1100,37.49787302,-122.315268,116,116,60,60,0.930000007,FALSE,560531.6843,4150331.869,-44441.25304,8150.781811
101,38:42.0,227,1.10E+12,Junipero Serra Fwy,M,S1100,37.44259441,-122.2527905,115,120,36,34,0.920000017,FALSE,566094.1604,4144245.591,-113483.1365,30552.96691
102,38:42.4,228,1.10E+12,State Rte 92,S,S1200,37.55674453,-122.2843561,106,106,17,17,0.920000017,FALSE,563211.8588,4156893.518,19375.25854,-2364.095673
103,38:42.8,238,1.10E+12,el Camino Real,M,S1200,37.65999823,-122.4415109,48,48,62,62,0.970000029,FALSE,549256.8009,4168250.185,-45061.8177,8277.694027
104,38:43.2,243,1.10E+12,State Rte 152,S,S1200,37.02755157,-121.3276547,108,108,50,50,0.949999988,FALSE,648756.7747,4099234.18,33890.6508,5590.011437
105,38:43.6,243,1.10E+12,State Rte 152,S,S1200,37.05648138,-121.2437977,113,113,63,63,0.949999988,FALSE,656157.3347,4102585.222,-198516.2228,26790.14028
106,38:44.0,244,1.10E+12,Santa Cruz Hwy,M,S1200,37.14393495,-121.9847383,79,79,14,14,0.959999979,FALSE,590168.736,4111321.153,-246880.0491,63475.40679
107,38:44.4,247,1.10E+12,Hecker Pass Hwy,M,S1200,36.99767637,-121.6867398,66,66,116,116,0.5,FALSE,616856.9186,4095421.64,78551.35359,29100.91619
108,38:44.8,248,1.10E+12,I- 880,I,S1100,37.39819956,-121.9083469,113,113,28,28,0.949999988,FALSE,596624.2966,4139619.937,-1999.150814,586.0568824
109,38:45.2,249,1.10E+12,I- 880,I,S1100,37.3633275,-121.9022183,100,100,11,11,0.939999998,FALSE,597209.762,4135739.312,41634.77215,8974.158446
110,38:45.6,250,1.10E+12,Bayshore Fwy,M,S1200,37.30179569,-121.8152133,113,113,12,12,0.949999988,FALSE,605002.7453,4129020.27,11300.90993,-4099.388351
111,38:46.0,253,1.10E+12,Nimitz Fwy,M,S1100,37.42489917,-121.916421,113,113,23,23,0.959999979,FALSE,595877.2431,4142564.141,-12116.05582,14362.98531
112,38:46.4,263,1.11E+11,Rio Dixon Rd,M,S1200,38.33523022,-121.8232778,95,95,75,75,0.5,FALSE,602839.1624,4243676.939,-13501.24968,401.4585144
113,38:46.8,264,1.11E+11,I- 80,I,S1100,38.22459598,-122.1258258,115,115,23,23,0.939999998,FALSE,576517.7864,4231104.903,10859.44871,-348.6361875
114,38:47.2,264,1.11E+11,I- 80,I,S1100,38.2751942,-122.047994,115,115,21,21,0.930000007,FALSE,583276.977,4236793.297,-28545.2327,-4727.176549
115,38:47.6,264,1.11E+11,I- 80,I,S1100,38.34672535,-121.9958575,118,118,19,19,0.889999986,FALSE,587750.2895,4244758.664,3598.136351,3206.112429
116,38:48.0,264,1.11E+11,I- 80,I,S1100,38.40035958,-121.9180266,113,113,50,50,0.899999976,FALSE,594475.5052,4250788.616,-30822.028,6940.74967
117,38:48.4,264,1.11E+11,I- 80,I,S1100,38.45826546,-121.8425488,116,116,42,42,0.920000017,FALSE,600987.5406,4257302.809,-198405.2718,2974.727451
118,38:48.8,264,1.11E+11,I- 80,I,S1100,38.5197556,-121.7700703,119,119,34,34,0.939999998,FALSE,607217.557,4264218.585,-53340.36116,2055.902717
119,38:49.2,265,1.11E+12,I- 680,I,S1100,38.11980337,-122.106024,117,117,50,50,0.939999998,FALSE,578360.8911,4219493.265,-14831.92375,-286.2774847
120,38:49.6,265,1.11E+12,I- 680,I,S1100,38.20558269,-122.1378735,112,112,41,41,0.920000017,FALSE,575479.5821,4228988.766,3110.496741,105.2031047
