OBJECTID,DATETIME_,ORIG_FID,LINEARID,FULLNAME,RTTYP,MTFCC,Lat,Lon,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure,x,y
68,38:28.8,140,1104480000000.000000000000000,Redwood Hwy,M,S1200,38.706197220000000,-122.907583099999997,115,115,60,60,0.500000000000000,FALSE,508033.513600000180304,4284189.673800000920892
69,38:29.2,140,1104480000000.000000000000000,Redwood Hwy,M,S1200,38.761173300000003,-122.982125199999999,115,115,62,62,0.500000000000000,FALSE,501552.570199999958277,4290288.092199999839067
70,38:29.6,140,1104480000000.000000000000000,Redwood Hwy,M,S1200,38.838474259999998,-123.020694399999996,106,106,47,47,0.879999995000000,FALSE,498203.105600000359118,4298855.868200000375509
71,38:30.0,145,1104260000000.000000000000000,State Rte 116,S,S1200,38.237097239999997,-122.517195299999997,84,84,66,66,0.959999979000000,FALSE,542249.608599999919534,4232235.403799999505281
72,38:30.4,146,1104470000000.000000000000000,State Rte 116,S,S1200,38.467778979999999,-123.035392000000002,76,76,81,81,0.500000000000000,FALSE,496910.623700000345707,4257732.215900000184774
73,38:30.8,146,1104470000000.000000000000000,State Rte 116,S,S1200,38.501071709999998,-123.005132500000002,59,59,56,56,0.500000000000000,FALSE,499551.780000000260770,4261415.895700000226498
74,38:31.2,146,1104470000000.000000000000000,State Rte 116,S,S1200,38.476972130000000,-122.932631000000001,68,68,101,101,0.500000000000000,FALSE,505876.330099999904633,4258756.423599999397993
75,38:31.6,146,1104470000000.000000000000000,State Rte 116,S,S1200,38.436709819999997,-122.857530400000002,66,66,53,53,0.870000005000000,FALSE,512436.890599999576807,4254280.490000000223517
76,38:32.1,149,1104470000000.000000000000000,Bay Hwy,M,S1200,38.337340249999997,-122.981002500000002,83,83,85,85,0.500000000000000,FALSE,501657.733099999837577,4243238.763299999758601
77,38:32.5,163,1104490000000.000000000000000,I- 80,I,S1100,37.886256490000001,-122.308928800000004,106,106,28,28,0.939999998000000,FALSE,560769.597099999897182,4193424.567600000649691
78,38:32.9,168,1104470000000.000000000000000,I- 680,I,S1100,37.644969850000003,-121.889411699999997,108,108,51,51,0.959999979000000,FALSE,597975.803000000305474,4167017.708300000056624
79,38:33.3,168,1104470000000.000000000000000,I- 680,I,S1100,37.568757730000002,-121.895184000000000,111,111,64,64,0.839999974000000,FALSE,597563.713200000114739,4158560.399000000208616
80,38:33.7,168,1104470000000.000000000000000,I- 680,I,S1100,37.504816990000002,-121.933766399999996,106,106,43,43,0.959999979000000,FALSE,594237.661500000394881,4151417.477800000458956
81,38:34.1,170,1105080000000.000000000000000,I- 580,I,S1100,37.796002510000001,-122.209674800000002,109,109,43,43,0.949999988000000,FALSE,569586.578200000338256,4183484.949500000104308
82,38:34.5,170,1105080000000.000000000000000,I- 580,I,S1100,37.742730750000000,-122.145976099999999,114,114,45,45,0.939999998000000,FALSE,575240.037999999709427,4177608.782400000840425
83,38:34.9,170,1105080000000.000000000000000,I- 580,I,S1100,37.690554040000002,-122.077258999999998,112,112,30,30,0.930000007000000,FALSE,581357.397900000214577,4171896.670800000429153
84,38:35.3,170,1105080000000.000000000000000,I- 580,I,S1100,37.699426529999997,-121.986107700000005,113,113,60,60,0.949999988000000,FALSE,589381.128200000151992,4172961.624199999496341
85,38:35.7,170,1105080000000.000000000000000,I- 580,I,S1100,37.701427400000000,-121.891638400000005,114,114,17,17,0.920000017000000,FALSE,597707.965200000442564,4173272.674200000241399
